"GSM34592.CEL.gz"	"GSM34593.CEL.gz"	"GSM34594.CEL.gz"
"100_g_at"	"A"	"A"	"A"
"1000_at"	"P"	"P"	"P"
"1001_at"	"A"	"A"	"A"
"1002_f_at"	"A"	"A"	"A"
"1003_s_at"	"A"	"A"	"A"
"1004_at"	"A"	"A"	"A"
"1005_at"	"P"	"P"	"P"
"1006_at"	"A"	"A"	"A"
"1007_s_at"	"P"	"P"	"P"
"1008_f_at"	"P"	"P"	"P"
"1009_at"	"P"	"P"	"P"
"101_at"	"P"	"A"	"M"
"1010_at"	"A"	"A"	"A"
"1011_s_at"	"P"	"P"	"P"
"1012_at"	"P"	"P"	"P"
"1013_at"	"P"	"P"	"P"
"1014_at"	"P"	"P"	"P"
"1015_s_at"	"A"	"A"	"A"
"1016_s_at"	"P"	"P"	"P"
"1017_at"	"P"	"P"	"P"
"1018_at"	"A"	"A"	"A"
"1019_g_at"	"A"	"A"	"A"
"102_at"	"A"	"A"	"A"
"1020_s_at"	"P"	"P"	"P"
"1021_at"	"A"	"A"	"A"
"1022_f_at"	"A"	"A"	"A"
"1023_at"	"A"	"A"	"A"
"1024_at"	"A"	"A"	"A"
"1025_g_at"	"A"	"A"	"A"
"1026_s_at"	"A"	"A"	"A"
"1027_at"	"A"	"A"	"A"
"1028_at"	"A"	"A"	"A"
"1029_s_at"	"A"	"A"	"A"
"103_at"	"A"	"A"	"A"
"1030_s_at"	"P"	"P"	"P"
"1031_at"	"P"	"P"	"P"
"1032_at"	"A"	"A"	"A"
"1033_g_at"	"A"	"A"	"A"
"1034_at"	"P"	"P"	"P"
"1035_g_at"	"P"	"P"	"P"
"1036_at"	"P"	"P"	"P"
"1037_at"	"A"	"A"	"A"
"1038_s_at"	"P"	"P"	"P"
"1039_s_at"	"P"	"P"	"P"
"104_at"	"A"	"A"	"P"
"1040_s_at"	"P"	"A"	"P"
"1041_at"	"A"	"A"	"A"
"1042_at"	"A"	"A"	"M"
"1043_s_at"	"A"	"A"	"A"
