"affy_hg_u95av2"	"entrezgene"
"374_f_at"	1652
"33689_s_at"	1652
"41181_r_at"	1652
"35801_at"	3704
"31847_at"	10208
"40632_at"	2812
"34412_s_at"	2812
"34284_at"	8100
"34920_at"	326
"36521_at"	22873
"32285_g_at"	6899
"32284_at"	6899
"32286_at"	6899
"36620_at"	6647
"1099_s_at"	NA
"37099_at"	241
"38740_at"	677
"375_at"	2952
"37222_at"	2952
"40041_at"	10403
"37303_at"	NA
"36617_at"	3397
"36618_g_at"	3397
"36619_r_at"	3397
"38019_at"	1454
"34922_at"	28513
"35936_g_at"	1375
"35228_at"	1375
"35935_at"	1375
"32033_at"	1375
"31830_s_at"	6525
"31831_at"	6525
"34282_at"	NA
"34742_at"	598
"1615_at"	598
"254_at"	NA
"33158_at"	3730
"39329_at"	87
"39330_s_at"	87
"38110_at"	6386
"37909_at"	3909
"36285_at"	3761
"41676_at"	339290
"33402_at"	11015
"1487_at"	NA
"38937_at"	8120
"557_s_at"	6753
"36687_at"	1349
"33157_at"	3642
"32736_at"	5880
"34398_at"	10808
"36523_at"	538
"35346_at"	10116
"36886_f_at"	3803
"36887_f_at"	3803
"38232_f_at"	3803
"38231_f_at"	3803
"31780_f_at"	3803
"36886_f_at"	3805
"36887_f_at"	3805
"38232_f_at"	3805
"38231_f_at"	3805
"31780_f_at"	3805
"36886_f_at"	3813
"36887_f_at"	3813
"38232_f_at"	3813
"38231_f_at"	3813
"31780_f_at"	3813
"36886_f_at"	57292
"36887_f_at"	57292
"38232_f_at"	57292
"38231_f_at"	57292
"31780_f_at"	57292
"36886_f_at"	553128
"36887_f_at"	553128
"38232_f_at"	553128
"38231_f_at"	553128
"31780_f_at"	553128
"36886_f_at"	100133046
"36887_f_at"	100133046
"38232_f_at"	100133046
"38231_f_at"	100133046
"31780_f_at"	100133046
"37652_at"	23523
"31952_at"	NA
"35534_at"	9721
"35363_at"	10521
"41260_at"	10521
"39799_at"	2171
"39799_at"	101060453
"34597_at"	5540
"34597_at"	100996758
"31941_s_at"	10739
"35725_at"	3839
"39799_at"	NA
"35736_at"	81488
"33208_at"	5611
"39506_at"	80114
"1212_at"	2954
"34105_f_at"	NA
"39109_at"	22974
"256_s_at"	388524
"256_s_at"	653162
"33519_at"	130
"37206_at"	130
"33187_r_at"	339005
"33186_i_at"	339005
"37954_at"	653145
"37954_at"	728113
"943_at"	861
"39421_at"	861
"393_s_at"	861
"2026_at"	861
"780_at"	861
"31443_at"	861
"943_at"	100506403
"39421_at"	100506403
"393_s_at"	100506403
"2026_at"	100506403
"780_at"	100506403
"31443_at"	100506403
"40386_r_at"	6998
"38386_r_at"	2937
"39535_at"	3166
"1093_at"	5519
"41429_at"	5519
"1094_g_at"	5519
"33010_at"	6527
"40877_s_at"	NA
"33117_r_at"	NA
"31608_g_at"	NA
"31941_s_at"	10738
"39168_at"	NA
"41091_at"	2186
"39156_at"	NA
"32350_at"	10892
"38575_at"	10892
"40116_at"	5211
"36272_r_at"	5375
"33841_at"	80256
"33842_at"	80256
"33843_g_at"	80256
"38430_at"	2167
"32971_at"	9413
"36577_at"	10979
"35050_at"	51230
"32884_at"	51230
"38689_at"	51493
"37391_at"	1514
"36698_at"	320
"34893_at"	NA
"34646_at"	NA
"34255_at"	8694
"32697_at"	3612
"31516_f_at"	NA
"35055_at"	NA
"38082_at"	23347
"35839_at"	6713
"897_at"	5310
"897_at"	101060429
"41221_at"	441531
"31697_s_at"	NA
"36017_at"	57213
"41522_at"	4242
"34579_r_at"	11144
"36994_at"	NA
"36994_at"	527
"31463_s_at"	NA
"36497_at"	113146
"31488_s_at"	5230
"37677_at"	5230
"33673_r_at"	7367
"33672_f_at"	7367
"33068_f_at"	7367
"1869_at"	7015
"40577_at"	158427
"41711_at"	10587
"38763_at"	NA
"36857_at"	5810
"37824_at"	22852
"40462_at"	26133
"34772_at"	10391
"41102_at"	27238
"40724_at"	7752
"32511_at"	84302
"33324_s_at"	983
"1803_at"	983
"40915_r_at"	983
"38192_at"	23059
"35132_at"	4542
"33657_at"	6164
"35664_at"	22915
"41613_at"	NA
"39734_at"	9255
"41141_at"	NA
"32337_at"	NA
"38838_at"	5393
"39844_at"	NA
"33406_at"	25776
"31851_at"	10206
"33068_f_at"	7366
"33069_f_at"	7366
"31658_at"	50674
"34429_at"	8174
"35698_at"	3426
"31588_at"	NA
"37034_at"	8125
"32341_f_at"	NA
"39214_at"	26576
"37133_at"	26576
"32878_f_at"	NA
"32877_i_at"	NA
"41817_g_at"	29775
"41816_at"	29775
"40717_at"	1515
"33900_at"	10272
"35910_f_at"	64386
"35911_r_at"	64386
"32766_at"	NA
"33791_at"	NA
"36760_at"	7534
"1235_at"	7534
"34642_at"	7534
"32340_s_at"	NA
"38237_at"	2687
"36133_at"	1832
"35797_at"	3597
"359_at"	3597
"41706_at"	23600
"36609_at"	6507
"33262_at"	8034
"38315_at"	8854
"36081_s_at"	54093
"38578_at"	55080
"34638_r_at"	124
"34637_f_at"	124
"33836_at"	NA
"37079_at"	NA
"35566_f_at"	NA
"34692_r_at"	10093
"34691_f_at"	10093
"38542_at"	NA
"40378_at"	6456
"36880_at"	4835
"41248_at"	23283
"40831_at"	26128
"33764_at"	9568
"39898_at"	220965
"35977_at"	22943
"33340_at"	9867
"33575_at"	10666
"36542_at"	10479
"38419_at"	9897
"33695_at"	255057
"33696_at"	255057
"926_at"	4495
"38833_at"	3113
"37450_r_at"	2778
"37448_s_at"	2778
"31604_at"	2778
"35197_at"	122616
"38976_at"	11151
"33917_at"	2036
"38960_at"	27124
"33427_s_at"	8455
"33428_s_at"	8455
"33722_at"	8455
"40557_at"	2979
"657_at"	56111
"36994_at"	51005
"36994_at"	752014
"657_at"	56103
"38932_at"	7553
"34260_at"	9894
"35337_at"	25793
"40547_at"	55374
"40399_r_at"	4223
"40398_s_at"	4223
"39663_at"	4124
"40374_at"	27063
"657_at"	56110
"1009_at"	3094
"721_g_at"	3299
"720_at"	3299
"657_at"	56102
"41187_at"	NA
"40228_at"	755
"39803_s_at"	755
"40328_at"	7291
"37642_at"	23172
"657_at"	56109
"1273_r_at"	997
"1274_s_at"	997
"40808_at"	1113
"38132_at"	11135
"40995_at"	NA
"41231_f_at"	NA
"34095_f_at"	NA
"34094_i_at"	NA
"34093_at"	NA
"34333_at"	9929
"39594_f_at"	4496
"31607_at"	NA
"32770_at"	9871
"1329_s_at"	NA
"40682_at"	2998
"1199_at"	NA
"32945_i_at"	4153
"32946_r_at"	4153
"40780_at"	NA
"651_at"	6119
"652_g_at"	6119
"35156_at"	203069
"41658_at"	10435
"35607_at"	NA
"37019_at"	2244
"39438_at"	1389
"38096_f_at"	3115
"38095_i_at"	3115
"657_at"	56108
"37456_at"	3957
"38590_r_at"	NA
"38589_i_at"	NA
"33050_at"	1816
"40087_at"	10497
"38626_at"	23140
"34681_at"	9723
"35183_at"	21
"34651_at"	1312
"32076_at"	10231
"41710_at"	54103
"39688_at"	5977
"1114_at"	652
"40333_at"	652
"41262_at"	9567
"34028_at"	2842
"156_s_at"	2842
"33318_at"	10150
"1690_at"	8641
"657_at"	8641
"1690_at"	56101
"657_at"	56101
"32359_at"	8840
"41395_at"	8534
"38951_at"	1305
"38952_s_at"	1305
"37376_at"	51035
"34637_f_at"	125
"35730_at"	125
"35868_at"	177
"32963_s_at"	58528
"33810_at"	8295
"657_at"	5098
"657_at"	9708
"35972_at"	79621
"33819_at"	3945
"33375_at"	4646
"35020_at"	8929
"39247_at"	730013
"34582_at"	6506
"35524_at"	733
"40053_at"	23071
"35755_at"	3705
"35882_at"	3705
"38736_at"	9948
"36333_at"	NA
"40447_at"	9663
"37147_at"	6320
"37459_at"	1295
"31325_at"	NA
"34310_at"	353
"31527_at"	26784
"31527_at"	NA
"39632_at"	4322
"40417_at"	22948
"33389_at"	401387
"36005_at"	11129
"32211_at"	5719
"39120_at"	4501
"37657_at"	5064
"40426_at"	9275
"34837_at"	23384
"34812_at"	64689
"31537_at"	417
"657_at"	56107
"37730_at"	27044
"250_at"	NA
"40822_at"	NA
"33677_at"	6152
"657_at"	56100
"34037_at"	3578
"36706_at"	6792
"36707_s_at"	6792
"41486_at"	11228
"41486_at"	100996477
"256_s_at"	NA
"41418_at"	22859
"1530_g_at"	10129
"33276_at"	10129
"1529_at"	10129
"31792_at"	306
"41223_at"	9377
