Sample.list	Series	Platform
GSM530551	GSE21217	HG-U133_Plus_2
GSM530552	GSE21217	HG-U133_Plus_2
GSM795820	GSE32100	HG-U133_Plus_2
GSM795821	GSE32100	HG-U133_Plus_2
GSM795822	GSE32100	HG-U133_Plus_2
GSM1098410	GSE45161	HG-U133_Plus_2
GSM1045861	GSE42618	HuGene-1_0-st
GSM862922	GSE35208	HG-U133_Plus_2
GSM862923	GSE35208	HG-U133_Plus_2
GSM862924	GSE35208	HG-U133_Plus_2
GSM929957	GSE37923	HuGene-1_0-st
GSM929958	GSE37923	HuGene-1_0-st
GSM231724	GSE9171	HG-U133_Plus_2
GSM101685	GSE4536	HG-U133_Plus_2
GSM101686	GSE4536	HG-U133_Plus_2
GSM556748	GSE22385	HG-U133A_2
GSM556750	GSE22385	HG-U133A_2
GSM556751	GSE22385	HG-U133A_2
GSM34592	GSE1923	HG_U95Av2
GSM34593	GSE1923	HG_U95Av2
GSM34594	GSE1923	HG_U95Av2
