"GSM530551.CEL.gz"	"GSM530552.CEL.gz"
"1007_s_at"	"P"	"P"
"1053_at"	"P"	"P"
"117_at"	"P"	"P"
"121_at"	"P"	"P"
"1255_g_at"	"A"	"A"
"1294_at"	"P"	"P"
"1316_at"	"A"	"P"
"1320_at"	"A"	"A"
"1405_i_at"	"A"	"A"
"1431_at"	"A"	"P"
"1438_at"	"A"	"A"
"1487_at"	"P"	"P"
"1494_f_at"	"M"	"M"
"1552256_a_at"	"P"	"P"
"1552257_a_at"	"P"	"P"
"1552258_at"	"A"	"A"
"1552261_at"	"A"	"A"
"1552263_at"	"P"	"P"
"1552264_a_at"	"P"	"P"
"1552266_at"	"A"	"A"
"1552269_at"	"A"	"A"
"1552271_at"	"A"	"A"
"1552272_a_at"	"A"	"A"
"1552274_at"	"P"	"P"
"1552275_s_at"	"P"	"P"
"1552276_a_at"	"A"	"A"
"1552277_a_at"	"P"	"P"
"1552278_a_at"	"A"	"A"
"1552279_a_at"	"A"	"A"
"1552280_at"	"A"	"A"
"1552281_at"	"A"	"A"
"1552283_s_at"	"A"	"P"
"1552286_at"	"P"	"P"
"1552287_s_at"	"P"	"P"
"1552288_at"	"A"	"A"
"1552289_a_at"	"A"	"A"
"1552291_at"	"P"	"P"
"1552293_at"	"A"	"A"
"1552295_a_at"	"P"	"P"
"1552296_at"	"A"	"A"
"1552299_at"	"P"	"P"
"1552301_a_at"	"P"	"P"
"1552302_at"	"A"	"A"
"1552303_a_at"	"A"	"A"
"1552304_at"	"A"	"A"
"1552306_at"	"P"	"P"
"1552307_a_at"	"M"	"M"
"1552309_a_at"	"P"	"P"
"1552310_at"	"P"	"P"
"1552311_a_at"	"A"	"A"
"1552312_a_at"	"P"	"P"
"1552314_a_at"	"P"	"P"
"1552315_at"	"A"	"A"
"1552316_a_at"	"A"	"A"
"1552318_at"	"A"	"A"
"1552319_a_at"	"A"	"A"
"1552320_a_at"	"A"	"A"
"1552321_a_at"	"A"	"A"
"1552322_at"	"A"	"A"
"1552323_s_at"	"A"	"P"
"1552325_at"	"A"	"A"
"1552326_a_at"	"A"	"A"
"1552327_at"	"A"	"A"
"1552329_at"	"P"	"P"
"1552330_at"	"P"	"P"
"1552332_at"	"A"	"A"
"1552334_at"	"P"	"P"
"1552335_at"	"A"	"A"
"1552337_s_at"	"A"	"A"
"1552338_at"	"A"	"A"
"1552340_at"	"A"	"A"
"1552343_s_at"	"A"	"A"
"1552344_s_at"	"P"	"P"
"1552347_at"	"P"	"P"
"1552348_at"	"A"	"A"
"1552349_a_at"	"A"	"A"
"1552354_at"	"A"	"A"
"1552355_s_at"	"A"	"A"
"1552359_at"	"A"	"A"
"1552360_a_at"	"A"	"A"
"1552362_a_at"	"P"	"M"
"1552364_s_at"	"A"	"A"
"1552365_at"	"A"	"A"
"1552367_a_at"	"A"	"A"
"1552368_at"	"A"	"A"
"1552370_at"	"P"	"P"
"1552372_at"	"A"	"A"
"1552373_s_at"	"A"	"A"
"1552375_at"	"A"	"A"
"1552377_s_at"	"A"	"A"
"1552378_s_at"	"P"	"M"
"1552379_at"	"A"	"A"
"1552381_at"	"A"	"A"
"1552383_at"	"A"	"A"
"1552384_a_at"	"A"	"A"
"1552386_at"	"A"	"P"
"1552388_at"	"A"	"A"
"1552389_at"	"A"	"A"
"1552390_a_at"	"A"	"A"
"1552391_at"	"A"	"P"
"1552393_at"	"A"	"A"
"1552394_a_at"	"A"	"A"
"1552395_at"	"A"	"A"
"1552396_at"	"A"	"A"
"1552398_a_at"	"A"	"A"
"1552399_a_at"	"M"	"A"
"1552400_a_at"	"A"	"A"
"1552401_a_at"	"A"	"A"
"1552402_at"	"A"	"A"
"1552405_at"	"A"	"A"
"1552408_at"	"A"	"A"
"1552409_a_at"	"A"	"A"
"1552410_at"	"A"	"A"
"1552411_at"	"A"	"A"
"1552412_a_at"	"A"	"A"
"1552414_at"	"A"	"A"
"1552415_a_at"	"A"	"A"
"1552417_a_at"	"A"	"P"
"1552418_at"	"A"	"A"
"1552419_s_at"	"A"	"A"
"1552421_a_at"	"A"	"A"
"1552422_at"	"A"	"A"
"1552423_at"	"P"	"M"
"1552424_at"	"A"	"A"
"1552425_a_at"	"A"	"A"
"1552426_a_at"	"P"	"P"
"1552427_at"	"A"	"A"
"1552430_at"	"A"	"A"
"1552432_at"	"A"	"A"
"1552436_a_at"	"A"	"A"
"1552438_a_at"	"A"	"A"
"1552439_s_at"	"A"	"A"
"1552440_at"	"A"	"A"
"1552445_a_at"	"A"	"A"
"1552448_a_at"	"A"	"A"
"1552449_a_at"	"A"	"A"
"1552450_a_at"	"A"	"A"
"1552452_at"	"A"	"A"
"1552453_a_at"	"A"	"A"
"1552455_at"	"A"	"A"
"1552456_a_at"	"A"	"A"
"1552457_a_at"	"P"	"P"
"1552458_at"	"A"	"A"
"1552459_a_at"	"A"	"A"
"1552461_at"	"A"	"A"
"1552463_at"	"A"	"A"
"1552466_x_at"	"M"	"A"
"1552467_at"	"A"	"A"
"1552468_a_at"	"A"	"A"
"1552470_a_at"	"P"	"P"
"1552472_a_at"	"P"	"P"
"1552473_at"	"A"	"A"
"1552474_a_at"	"M"	"P"
"1552476_s_at"	"A"	"A"
"1552477_a_at"	"A"	"A"
"1552478_a_at"	"A"	"A"
"1552480_s_at"	"A"	"A"
"1552481_s_at"	"P"	"P"
"1552482_at"	"A"	"A"
"1552484_at"	"A"	"A"
"1552485_at"	"P"	"P"
"1552486_s_at"	"P"	"P"
"1552487_a_at"	"A"	"P"
"1552489_s_at"	"P"	"P"
"1552490_at"	"P"	"P"
"1552491_at"	"A"	"A"
"1552493_s_at"	"A"	"A"
"1552494_at"	"A"	"A"
"1552496_a_at"	"A"	"A"
"1552497_a_at"	"A"	"A"
"1552498_at"	"P"	"A"
"1552499_a_at"	"A"	"A"
"1552501_a_at"	"A"	"A"
"1552502_s_at"	"A"	"A"
"1552503_at"	"A"	"A"
"1552504_a_at"	"A"	"A"
"1552506_at"	"A"	"A"
"1552507_at"	"P"	"A"
"1552508_at"	"M"	"A"
"1552509_a_at"	"A"	"A"
"1552510_at"	"A"	"A"
"1552511_a_at"	"A"	"A"
"1552514_at"	"A"	"A"
"1552515_at"	"A"	"A"
"1552516_a_at"	"P"	"M"
"1552518_s_at"	"A"	"A"
"1552519_at"	"A"	"A"
"1552520_at"	"P"	"P"
"1552521_a_at"	"M"	"P"
"1552522_at"	"A"	"A"
"1552523_a_at"	"A"	"A"
"1552524_at"	"A"	"A"
"1552526_at"	"A"	"A"
"1552528_at"	"A"	"A"
"1552531_a_at"	"A"	"A"
"1552532_a_at"	"A"	"A"
"1552535_at"	"A"	"A"
"1552536_at"	"A"	"P"
"1552538_a_at"	"A"	"A"
"1552540_s_at"	"M"	"M"
"1552541_at"	"P"	"A"
"1552542_s_at"	"A"	"A"
"1552543_a_at"	"A"	"A"
"1552544_at"	"A"	"A"
"1552546_a_at"	"P"	"P"
"1552548_at"	"A"	"A"
"1552549_a_at"	"A"	"A"
"1552552_s_at"	"A"	"A"
"1552553_a_at"	"A"	"A"
"1552554_a_at"	"A"	"A"
"1552555_at"	"A"	"A"
"1552557_a_at"	"A"	"A"
"1552558_a_at"	"A"	"A"
"1552559_a_at"	"A"	"A"
"1552562_at"	"A"	"A"
"1552563_a_at"	"A"	"A"
"1552564_at"	"A"	"A"
"1552566_at"	"A"	"A"
"1552568_at"	"A"	"A"
"1552569_a_at"	"A"	"A"
"1552570_at"	"A"	"A"
"1552572_a_at"	"A"	"A"
"1552573_s_at"	"A"	"A"
"1552575_a_at"	"P"	"P"
"1552576_at"	"A"	"A"
"1552578_a_at"	"A"	"A"
"1552579_a_at"	"M"	"A"
"1552580_at"	"P"	"M"
"1552582_at"	"A"	"A"
"1552583_s_at"	"A"	"A"
"1552584_at"	"A"	"A"
"1552585_s_at"	"A"	"A"
"1552586_at"	"A"	"A"
"1552587_at"	"A"	"A"
"1552588_a_at"	"A"	"A"
"1552590_a_at"	"A"	"A"
"1552592_at"	"A"	"A"
"1552594_at"	"A"	"A"
"1552596_at"	"A"	"A"
"1552598_at"	"A"	"A"
"1552599_at"	"A"	"A"
"1552602_at"	"A"	"A"
"1552604_at"	"A"	"A"
"1552605_s_at"	"A"	"A"
"1552607_at"	"A"	"A"
"1552608_at"	"A"	"A"
"1552609_s_at"	"M"	"A"
"1552610_a_at"	"P"	"P"
"1552611_a_at"	"P"	"P"
"1552612_at"	"P"	"P"
"1552613_s_at"	"P"	"P"
"1552615_at"	"A"	"A"
"1552616_a_at"	"A"	"A"
"1552617_a_at"	"P"	"P"
"1552618_at"	"P"	"P"
"1552619_a_at"	"P"	"P"
"1552620_at"	"A"	"A"
"1552621_at"	"P"	"P"
"1552622_s_at"	"P"	"P"
"1552623_at"	"A"	"A"
"1552625_a_at"	"P"	"P"
"1552626_a_at"	"A"	"A"
"1552627_a_at"	"P"	"P"
"1552628_a_at"	"P"	"P"
"1552629_a_at"	"A"	"A"
"1552630_a_at"	"A"	"A"
"1552631_a_at"	"P"	"A"
"1552632_a_at"	"A"	"A"
"1552633_at"	"P"	"P"
"1552634_a_at"	"P"	"P"
"1552637_at"	"A"	"A"
"1552639_at"	"A"	"A"
"1552641_s_at"	"P"	"P"
"1552643_at"	"A"	"A"
"1552644_a_at"	"P"	"P"
"1552646_at"	"A"	"A"
"1552648_a_at"	"A"	"A"
"1552649_a_at"	"P"	"P"
"1552651_a_at"	"P"	"P"
"1552652_at"	"P"	"P"
"1552656_s_at"	"P"	"P"
"1552657_a_at"	"A"	"A"
"1552658_a_at"	"P"	"P"
"1552660_a_at"	"P"	"P"
