"GSM556748.CEL.gz"	"GSM556750.CEL.gz"	"GSM556751.CEL.gz"
"1007_s_at"	"P"	"P"	"P"
"1053_at"	"P"	"P"	"P"
"117_at"	"P"	"P"	"P"
"121_at"	"P"	"P"	"P"
"1255_g_at"	"A"	"A"	"A"
"1294_at"	"P"	"M"	"P"
"1316_at"	"A"	"P"	"P"
"1320_at"	"M"	"P"	"A"
"1405_i_at"	"A"	"A"	"A"
"1431_at"	"A"	"A"	"A"
"1438_at"	"A"	"A"	"A"
"1487_at"	"P"	"P"	"P"
"1494_f_at"	"A"	"A"	"A"
"1598_g_at"	"A"	"A"	"P"
"160020_at"	"P"	"P"	"P"
"1729_at"	"P"	"P"	"P"
"177_at"	"P"	"P"	"P"
"1773_at"	"P"	"P"	"P"
"179_at"	"A"	"A"	"A"
"1861_at"	"P"	"P"	"P"
"200000_s_at"	"P"	"P"	"P"
"200001_at"	"P"	"P"	"P"
"200002_at"	"P"	"P"	"P"
"200003_s_at"	"P"	"P"	"P"
"200004_at"	"P"	"P"	"P"
"200005_at"	"P"	"P"	"P"
"200006_at"	"P"	"P"	"P"
"200007_at"	"P"	"P"	"P"
"200008_s_at"	"P"	"P"	"P"
"200009_at"	"P"	"P"	"P"
"200010_at"	"P"	"P"	"P"
"200011_s_at"	"P"	"P"	"P"
"200012_x_at"	"P"	"P"	"P"
"200013_at"	"P"	"P"	"P"
"200014_s_at"	"P"	"P"	"P"
"200015_s_at"	"P"	"P"	"P"
"200016_x_at"	"P"	"P"	"P"
"200017_at"	"P"	"P"	"P"
"200018_at"	"P"	"P"	"P"
"200019_s_at"	"P"	"P"	"P"
"200020_at"	"P"	"P"	"P"
"200021_at"	"P"	"P"	"P"
"200022_at"	"P"	"P"	"P"
"200023_s_at"	"P"	"P"	"P"
"200024_at"	"P"	"P"	"P"
"200025_s_at"	"P"	"P"	"P"
"200026_at"	"P"	"P"	"P"
"200027_at"	"P"	"P"	"P"
"200028_s_at"	"P"	"P"	"P"
"200029_at"	"P"	"P"	"P"
"200030_s_at"	"P"	"P"	"P"
"200031_s_at"	"P"	"P"	"P"
"200032_s_at"	"P"	"P"	"P"
"200033_at"	"P"	"P"	"P"
"200034_s_at"	"P"	"P"	"P"
"200035_at"	"P"	"P"	"P"
"200036_s_at"	"P"	"P"	"P"
"200037_s_at"	"P"	"P"	"P"
"200038_s_at"	"P"	"P"	"P"
"200039_s_at"	"P"	"P"	"P"
"200040_at"	"P"	"P"	"P"
"200041_s_at"	"P"	"P"	"P"
"200042_at"	"P"	"P"	"P"
"200043_at"	"P"	"P"	"P"
"200044_at"	"P"	"P"	"P"
"200045_at"	"P"	"P"	"P"
"200046_at"	"P"	"P"	"P"
"200047_s_at"	"P"	"P"	"P"
"200048_s_at"	"P"	"P"	"P"
"200049_at"	"P"	"P"	"P"
"200050_at"	"P"	"P"	"P"
"200051_at"	"P"	"P"	"P"
