"affy_hg_u133_plus_2"	"entrezgene"
"1563385_at"	266919
"202929_s_at"	1652
"1552691_at"	115761
"1552693_at"	115761
"219698_s_at"	64863
"232194_at"	64863
"209171_at"	3704
"229308_at"	147463
"238332_at"	147463
"204190_at"	10208
"223306_at"	84650
"206655_s_at"	2812
"209767_s_at"	2812
"204703_at"	8100
"208090_s_at"	326
"204556_s_at"	22873
"204557_s_at"	22873
"236926_at"	6899
"211273_s_at"	6899
"211274_at"	6899
"207662_at"	6899
"200642_at"	6647
"205439_at"	NA
"240276_at"	NA
"1564960_at"	NA
"235740_at"	79772
"220122_at"	79772
"1554730_at"	79772
"239854_at"	644186
"1556344_at"	150051
"1562718_at"	NA
"204174_at"	241
"211965_at"	677
"211962_s_at"	677
"229054_at"	677
"213277_at"	677
"203815_at"	2952
"232193_at"	2952
"235079_at"	619279
"235732_at"	619279
"223366_at"	619279
"235905_at"	619279
"1558941_at"	619279
"241963_at"	619279
"226574_at"	NA
"204162_at"	10403
"233901_at"	NA
"216387_x_at"	NA
"1560617_at"	NA
"218515_at"	94104
"221158_at"	94104
"1555125_at"	94104
"216476_at"	NA
"217499_x_at"	NA
"216826_at"	NA
"1555196_at"	100287114
"202239_at"	NA
"208937_s_at"	3397
"216473_x_at"	NA
"227058_at"	84935
"202332_at"	1454
"225756_at"	1454
"226858_at"	1454
"222015_at"	1454
"221553_at"	84061
"224899_s_at"	84061
"1555403_a_at"	28513
"206898_at"	28513
"235639_at"	28513
"223748_at"	83959
"233550_s_at"	83959
"243884_at"	122046
"210069_at"	1375
"210070_s_at"	1375
"204193_at"	1375
"232761_at"	84701
"228568_at"	100820829
"220826_at"	NA
"242913_at"	54102
"227742_at"	54102
"207390_s_at"	6525
"209427_at"	6525
"212312_at"	598
"215037_s_at"	598
"206665_s_at"	598
"231228_at"	598
"223038_s_at"	NA
"216404_at"	6315
"230890_at"	57536
"232358_at"	57536
"230890_at"	100506821
"232358_at"	100506821
"233170_at"	100885781
"208755_x_at"	NA
"213828_x_at"	NA
"230574_at"	100130938
"1555990_at"	150297
"1555991_s_at"	150297
"222311_s_at"	57466
"226082_s_at"	57466
"233753_at"	57466
"222310_at"	57466
"205206_at"	3730
"208636_at"	87
"208637_x_at"	87
"211160_x_at"	87
"200943_at"	87
"200958_s_at"	6386
"1560078_at"	3909
"1568879_a_at"	3909
"203726_s_at"	3909
"1563772_a_at"	3909
"211451_s_at"	3761
"208359_s_at"	3761
"232825_s_at"	92126
"244852_at"	92126
"232235_at"	92126
"1556789_a_at"	100506215
"239407_at"	100506215
"229829_at"	147525
"218821_at"	NA
"218822_s_at"	NA
"89476_r_at"	NA
"221638_s_at"	NA
"243426_at"	339290
"226235_at"	339290
"228160_at"	339290
"215283_at"	339290
"204017_at"	11015
"207265_s_at"	11015
"207264_at"	11015
"1487_at"	NA
"217211_at"	NA
"205678_at"	8120
"1570032_at"	8120
"1553178_a_at"	6753
"214491_at"	6753
"244035_at"	NA
"1560988_a_at"	NA
"236054_at"	NA
"218009_s_at"	9055
"244030_at"	6815
"242408_at"	6815
"228853_at"	6815
"235180_at"	6815
"218821_at"	79716
"218822_s_at"	79716
"89476_r_at"	79716
"218821_at"	100652930
"218822_s_at"	100652930
"89476_r_at"	100652930
"233610_at"	645355
"202110_at"	1349
"239252_at"	1349
"206502_s_at"	3642
"225302_at"	54495
"1552822_at"	54495
"1567912_s_at"	441520
"235700_at"	441520
"1567912_s_at"	541465
"235700_at"	541465
"1567912_s_at"	101060208
"235700_at"	101060208
"1567912_s_at"	101060211
"235700_at"	101060211
"213603_s_at"	5880
"206976_s_at"	10808
"208744_x_at"	10808
"235573_at"	10808
"1555133_at"	171482
"227354_at"	55824
"225626_at"	55824
"225622_at"	55824
"1552872_at"	80161
"241354_at"	80161
"240264_at"	NA
"205197_s_at"	538
"205198_s_at"	538
"212374_at"	10116
"212367_at"	10116
"212373_at"	10116
"211410_x_at"	3803
"211389_x_at"	3803
"208426_x_at"	3803
"211242_x_at"	3803
"211245_x_at"	3803
"216676_x_at"	3803
"211532_x_at"	3803
"211397_x_at"	3803
"210890_x_at"	3803
"208179_x_at"	3803
"211410_x_at"	3805
"211389_x_at"	3805
"208426_x_at"	3805
"211242_x_at"	3805
"211245_x_at"	3805
"216676_x_at"	3805
"211532_x_at"	3805
"211397_x_at"	3805
"210890_x_at"	3805
"208179_x_at"	3805
"211410_x_at"	3813
"211389_x_at"	3813
"208426_x_at"	3813
"211242_x_at"	3813
"211245_x_at"	3813
"216676_x_at"	3813
"211532_x_at"	3813
"211397_x_at"	3813
"210890_x_at"	3813
"208179_x_at"	3813
"211410_x_at"	57292
"211389_x_at"	57292
"208426_x_at"	57292
"211242_x_at"	57292
"211245_x_at"	57292
"216676_x_at"	57292
"211532_x_at"	57292
"211397_x_at"	57292
"210890_x_at"	57292
"208179_x_at"	57292
"211410_x_at"	553128
"211389_x_at"	553128
"208426_x_at"	553128
"211242_x_at"	553128
"211245_x_at"	553128
"216676_x_at"	553128
"211532_x_at"	553128
"211397_x_at"	553128
"210890_x_at"	553128
"208179_x_at"	553128
"211410_x_at"	100133046
"211389_x_at"	100133046
"208426_x_at"	100133046
"211242_x_at"	100133046
"211245_x_at"	100133046
"216676_x_at"	100133046
"211532_x_at"	100133046
"211397_x_at"	100133046
"210890_x_at"	100133046
"208179_x_at"	100133046
"202624_s_at"	23523
"37652_at"	23523
"200034_s_at"	NA
"1554541_a_at"	9721
"206747_at"	9721
"1555538_s_at"	171483
"1553461_at"	171483
"1560863_a_at"	NA
"208719_s_at"	10521
"208151_x_at"	10521
"213998_s_at"	10521
"208718_at"	10521
"230180_at"	10521
"202345_s_at"	2171
"202345_s_at"	101060453
"210956_at"	5540
"210956_at"	100996758
"242683_at"	400643
"207227_x_at"	10739
"225499_at"	57186
"231826_at"	57186
"232500_at"	57186
"221503_s_at"	3839
"221502_at"	3839
"202345_s_at"	NA
"212243_at"	81488
"212241_at"	81488
"212244_at"	81488
"1554819_a_at"	22801
"222899_at"	22801
"216491_x_at"	NA
"211637_x_at"	NA
"1558080_s_at"	5611
"225284_at"	5611
"235341_at"	5611
"208499_s_at"	5611
"213429_at"	80114
"220580_at"	80114
"1554335_at"	27128
"219183_s_at"	27128
"211521_s_at"	27128
"209531_at"	2954
"217281_x_at"	NA
"1553934_at"	221241
"1569828_at"	NA
"1561455_at"	284294
"230631_s_at"	100288432
"230632_at"	100288432
"210052_s_at"	22974
"213801_x_at"	388524
"213801_x_at"	653162
"1561090_at"	400654
"214973_x_at"	NA
"214261_s_at"	130
"207544_s_at"	130
"1557261_at"	339005
"213908_at"	339005
"244105_at"	339005
"1557450_s_at"	339005
"1560662_s_at"	339005
"203074_at"	653145
"203074_at"	728113
"219845_at"	56033
"240472_at"	NA
"223564_s_at"	54584
"223563_at"	54584
"220762_s_at"	54584
"209360_s_at"	861
"209359_x_at"	861
"211181_x_at"	861
"210805_x_at"	861
