Recon 2 ID	Name	InChIKey	ChEBI ID	HMDB ID	KEGG ID	PubChem Compound ID	LMSD ID
10fthf	10-Formyltetrahydrofolate	AUFGTPPARQZWDO-YPMHNXCESA-N	15637	HMDB00972	C00234	122347	
10fthf5glu	10-formyltetrahydrofolate-[Glu](5)						
10fthf6glu	10-formyltetrahydrofolate-[Glu](6)	SFFBEUFYOPMKMV-CWMPVMSNSA-N					
10fthf7glu	10-formyltetrahydrofolate-[Glu](7)						
11_cis_retfa	fatty acid 11-cis-retinol						
11docrtsl	11-deoxycortisol	WHBHBVVOGNECLV-OBQKJFGGSA-N	28324	HMDB00015	C05488		LMST02030086
11docrtstrn	11-deoxycorticosterone	ZESRJSPZRDMNHY-YFWFAHHUSA-N	16973	HMDB00016	C03205	6166	LMST02030087
12HPET	12-Hydroperoxyeicosa-5,8,10,14-tetraenoate	ZIOZYRSDNLNNNJ-IBGZPJMESA-N	15626	HMDB04243	C05965		LMFA03060013
12RHPET	12R-Hydroperoxyeicosatetraenoate	ZIOZYRSDNLNNNJ-LJQANCHMSA-N	34145	HMDB04692	C14812		LMFA03060070
12dgr120	1,2-Diacyl-sn-glycerol (didodecanoyl, n-C12:0)		17815				
12harachd	12 hydroxy arachidonic acid	ZNHVWPKMFKADKW-UHFFFAOYSA-N		HMDB06111		5312983	LMFA03060063
12ppd_R	(R)-propane-1,2-diol	DNIAPMSPPWPWGF-GSVOUGTGSA-N	16997	HMDB01881	C00583		
12ppd_S	(S)-propane-1,2-diol	DNIAPMSPPWPWGF-VKHMYHEASA-N	29002	HMDB06213	C02917		
13_cis_oretn	13-cis-oxo-retinoic acid						
13_cis_retn	13-cis-retinoate	SHGAZHPCJJPHSC-UHFFFAOYSA-N	6067	HMDB06219	D00348	5282379	LMPR01090021
13_cis_retnglc	13-cis-retinoyl glucuronide	MTGFYEHKPMOVNE-LYVDORBWSA-N	28870	HMDB03141	C11061	5281877	
13dampp	trimethylenediaminium	XFNJVJPLKCPIBV-UHFFFAOYSA-N	15725	HMDB00002	C00986	428	
13dpg	3-Phospho-D-glyceroyl phosphate	LJQLQCAXBUHEAZ-UWTATZPHSA-N	16001	HMDB01270	C00236	439191	
15HPET	15(S)-HPETE(1-)	BFWYTORDSFIVKP-IBGZPJMESA-N	15628	HMDB04244	C05966	5280893	LMFA03060014
17ahprgnlone	17alpha-hydroxypregnenolone	JERGUCIJOXJXHF-TVWVXWENSA-N	28750	HMDB00363	C05138	91451	LMST02030089
17ahprgstrn	17alpha-hydroxyprogesterone	DBPWSSGDRRHUNT-CEGNMAFCSA-N	17252	HMDB00374	C01176	6238	LMST02030161
18harachd	18 hydroxy arachidonic acid	PPCHNRUZQWLEMF-LJQANCHMSA-N		HMDB06245		11141754	LMFA03060093
1a2425thvitd2	1-alpha,24R,25-Trihydroxyvitamin D2	KRGCLKZOZQUAFK-ODIZWMGWSA-N		HMDB06227			LMST03010051
1a2425thvitd3	calcitetrol	WFZKUWGUJVKMHC-LFGNEKGJSA-N	47799	HMDB06228	C18231		LMST03020686
1a25dhvitd2	1-alpha,25-Dihydroxyvitamin D2	ZGLHBRQAEXKACO-WROXZXEWSA-N		HMDB06225			
1a25dhvitd3	calcitriol	GMRQFYUYWCNGIN-ZVUFCXRFSA-N	17823	HMDB01903	C01673	5280453	LMST03020258
1ddecg3p	1-acyl-sn-glycerol 3-phosphate(2-)		57970				
1glyc_hs	1 acyl phosphoglycerol						
1mncam	1-methylnicotinamide	LDHMAVIPBRSVRG-UHFFFAOYSA-O	16797	HMDB00699	C02918	457	
1mpyr	1-methylpyrrolinium	FDWZAOGDOVQOLD-UHFFFAOYSA-N	27435		C06178	440932	
1p2cbxl	1-pyrroline-2-carboxylate	RHTAIKJZSXNELN-UHFFFAOYSA-N	36761	HMDB06875	C03564	440046	
1p3h5c	L-1-Pyrroline-3-hydroxy-5-carboxylate	WFOFKRKDDKGRIK-DMTCNVIQSA-N	6151	HMDB01369	C04281	11966267	
1pipdn2c	1-piperideine-2-carboxylate	GEJXSVNGWOSZPC-UHFFFAOYSA-N	30912	HMDB01084	C04092		
1pyr5c	1-Pyrroline-5-carboxylate	DWAKNKKXGALPNW-UHFFFAOYSA-N	1372	HMDB01301	C04322	1196	
20ahchsterol	20-hydroxycholesterol	MCKLJFJEQRYRQT-APGJSSKUSA-N	1296	HMDB06283	C05500	121935	LMST01010201
23cump	2',3'-cyclic UMP(1-)	HWDMHJDYMFRXOX-XVFCMESISA-N	28637	HMDB11640	C02355	439715	
23doguln	(4R,5S)-4,5,6-trihydroxy-2,3-dioxohexanoate	GJQWCDSAOUMKSE-STHAYSLISA-N	15622	HMDB05971	C04575	440390	LMFA01060195
23dpg	2,3-bisphosphonato-D-glycerate(5-)	XOHUEYCVLUUEJJ-UWTATZPHSA-N	17720	HMDB01294	C01159		
2425dhvitd2	24R,25-Dihyoxyvitamin D2	BPEQZNMKGFTMQE-DXYROGBQSA-N					
2425dhvitd3	(24R)-24,25-dihydroxycalciol	FCKJYANJHNLEEP-SUUCIXNTSA-N	28818				LMST03020273
24nph	2-hydroxy-4-nitrophenolate	XJNPNXSISMKQEX-UHFFFAOYSA-N	16318	HMDB02916	C02235		
25aics	(S)-2-[5-Amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido]succinate	NAQGHJTUZRHGAC-ZZZDFHIKSA-N	58443	HMDB00797	C04823	160666	
25hvitd2	25-Hydroxyvitamin D2	KJKIIUAXZGLUND-WYBYICLWSA-N		HMDB01438			LMST03010030
25hvitd3	calcidiol	JWUBBDSIWDLEOM-DLBXBJKMSA-N	17933	HMDB03550	C01561		LMST03020246
2amac	2-aminoacrylic acid	UQBOJOOOTLPNST-UHFFFAOYSA-N	17123	HMDB03609	C02218		
2ameph	(2-Aminoethyl)phosphonate	QQVDJLLNRSOCEL-UHFFFAOYSA-N	15573	HMDB11747	C03557	339	
2aobut	L-2-amino-3-oxobutanoic acid	SAUCHDKDCUROAO-VKHMYHEASA-N	40673	HMDB06454	C03508	440033	LMFA01060172
2c23dh56dhoxin	2-Carboxy-2,3-dihydro-5,6-dihydroxyindole	JDWYRSDDJVCWPB-LURJTMIESA-N	60872	HMDB04067	C05604	161255	
2coum	cis-2-coumarate	PMOWTIHVNWZYFI-UHFFFAOYSA-N	28873		C05838	5280841	
2ddecdicoa	2,6-dodecadienoylcoa	ZSJRXHRCABOSNC-XRUZZFSQSA-N		HMDB11123	C05279	53480665	
2decdicoa	2,7-decadienoylcoa						
2docohexecoa	2,7,10,13,16,19-docosahexenoylcoa						
2docopencoa	2,7,10,13,16-docosapentenoylcoa						
2dodtricoa	2,6,9-dodecatrienoylcoa						
2dp6mep	2-Decaprenyl-6-methoxyphenol	FYLLWSGFAAQKHU-UHFFFAOYSA-N	50774				
2dp6mobq	2-decaprenyl-6-methoxy-1,4-benzoquinone	POYJNCVGTDCCPK-UHFFFAOYSA-N	50773				LMPR02010033
2dp6mobq_me	2-decaprenyl-6-methoxy-3-methyl-1,4-benzoquinone	DLBRMPAESNEOJM-UHFFFAOYSA-N	50772				LMPR02010032
2dpmhobq	2-decaprenyl-5-hydroxy-6-methoxy-3-methyl-1,4-benzoquinone	ONGWDJKIJUAIOD-UHFFFAOYSA-N	50771	HMDB06484			LMPR02010031
2dr1p	2-Deoxy-D-ribose 1-phosphate	KBDKAJNTYKVSEK-PYHARJCCSA-N	28542	HMDB01351	C00672	5460448	
2dr5p	2-deoxy-D-ribose 5-phosphate(2-)	ALQNUOMIEBHXQG-CRCLSJGQSA-N	16132	HMDB01031	C00673	45934311	
2hb	2-Hydroxybutyrate	AFENDNXGAFYKQO-UHFFFAOYSA-N	1148	HMDB00008	C05984		LMFA01050004
2hexdtetcoa	2,7,10,13-hexadecatetraenoylcoa						
2hexdtricoa	2,7,10-hexadecatrienoylcoa						
2hyoxplac	2-Hydroxyphenylacetate	CCVYRRGZDBSHFU-UHFFFAOYSA-N	28478	HMDB00669	C05852	11970	
