"affy_hg_u133a_2"	"entrezgene"
"202929_s_at"	1652
"219698_s_at"	64863
"209171_at"	3704
"204190_at"	10208
"206655_s_at"	2812
"209767_s_at"	2812
"204703_at"	8100
"208090_s_at"	326
"204556_s_at"	22873
"204557_s_at"	22873
"211273_s_at"	6899
"211274_at"	6899
"207662_at"	6899
"200642_at"	6647
"205439_at"	NA
"220122_at"	79772
"204174_at"	241
"211965_at"	677
"211962_s_at"	677
"213277_at"	677
"203815_at"	2952
"204162_at"	10403
"216387_x_at"	NA
"218515_at"	94104
"221158_at"	94104
"216476_at"	NA
"217499_x_at"	NA
"216826_at"	NA
"202239_at"	NA
"208937_s_at"	3397
"216473_x_at"	NA
"202332_at"	1454
"222015_at"	1454
"221553_at"	84061
"206898_at"	28513
"210069_at"	1375
"210070_s_at"	1375
"204193_at"	1375
"220826_at"	NA
"207390_s_at"	6525
"209427_at"	6525
"212312_at"	598
"215037_s_at"	598
"206665_s_at"	598
"216404_at"	6315
"208755_x_at"	NA
"213828_x_at"	NA
"222311_s_at"	57466
"222310_at"	57466
"205206_at"	3730
"208636_at"	87
"208637_x_at"	87
"211160_x_at"	87
"200943_at"	87
"200958_s_at"	6386
"203726_s_at"	3909
"211451_s_at"	3761
"208359_s_at"	3761
"218821_at"	NA
"218822_s_at"	NA
"89476_r_at"	NA
"221638_s_at"	NA
"215283_at"	339290
"204017_at"	11015
"207265_s_at"	11015
"207264_at"	11015
"1487_at"	NA
"217211_at"	NA
"205678_at"	8120
"214491_at"	6753
"218009_s_at"	9055
"218821_at"	79716
"218822_s_at"	79716
"89476_r_at"	79716
"218821_at"	100652930
"218822_s_at"	100652930
"89476_r_at"	100652930
"202110_at"	1349
"206502_s_at"	3642
"213603_s_at"	5880
"206976_s_at"	10808
"208744_x_at"	10808
"205197_s_at"	538
"205198_s_at"	538
"212374_at"	10116
"212367_at"	10116
"212373_at"	10116
"211410_x_at"	3803
"211389_x_at"	3803
"208426_x_at"	3803
"211242_x_at"	3803
"211245_x_at"	3803
"216676_x_at"	3803
"211532_x_at"	3803
"211397_x_at"	3803
"210890_x_at"	3803
"208179_x_at"	3803
"211410_x_at"	3805
"211389_x_at"	3805
"208426_x_at"	3805
"211242_x_at"	3805
"211245_x_at"	3805
"216676_x_at"	3805
"211532_x_at"	3805
"211397_x_at"	3805
"210890_x_at"	3805
"208179_x_at"	3805
"211410_x_at"	3813
"211389_x_at"	3813
"208426_x_at"	3813
"211242_x_at"	3813
"211245_x_at"	3813
"216676_x_at"	3813
"211532_x_at"	3813
"211397_x_at"	3813
"210890_x_at"	3813
"208179_x_at"	3813
"211410_x_at"	57292
"211389_x_at"	57292
"208426_x_at"	57292
"211242_x_at"	57292
"211245_x_at"	57292
"216676_x_at"	57292
"211532_x_at"	57292
"211397_x_at"	57292
"210890_x_at"	57292
"208179_x_at"	57292
"211410_x_at"	553128
"211389_x_at"	553128
"208426_x_at"	553128
"211242_x_at"	553128
"211245_x_at"	553128
"216676_x_at"	553128
"211532_x_at"	553128
"211397_x_at"	553128
"210890_x_at"	553128
"208179_x_at"	553128
"211410_x_at"	100133046
"211389_x_at"	100133046
"208426_x_at"	100133046
"211242_x_at"	100133046
"211245_x_at"	100133046
"216676_x_at"	100133046
"211532_x_at"	100133046
"211397_x_at"	100133046
"210890_x_at"	100133046
"208179_x_at"	100133046
"202624_s_at"	23523
"37652_at"	23523
"200034_s_at"	NA
"206747_at"	9721
"208719_s_at"	10521
"208151_x_at"	10521
"213998_s_at"	10521
"208718_at"	10521
"202345_s_at"	2171
"202345_s_at"	101060453
"210956_at"	5540
"210956_at"	100996758
"207227_x_at"	10739
"221503_s_at"	3839
"221502_at"	3839
"202345_s_at"	NA
"212243_at"	81488
"212241_at"	81488
"212244_at"	81488
"216491_x_at"	NA
"211637_x_at"	NA
"208499_s_at"	5611
"213429_at"	80114
"220580_at"	80114
"219183_s_at"	27128
"211521_s_at"	27128
"209531_at"	2954
"217281_x_at"	NA
"210052_s_at"	22974
"213801_x_at"	388524
"213801_x_at"	653162
"214973_x_at"	NA
"214261_s_at"	130
"207544_s_at"	130
"213908_at"	339005
"203074_at"	653145
"203074_at"	728113
"219845_at"	56033
"220762_s_at"	54584
"209360_s_at"	861
"209359_x_at"	861
"211181_x_at"	861
"210805_x_at"	861
"211180_x_at"	861
"208129_x_at"	861
"211620_x_at"	861
"211182_x_at"	861
"210365_at"	861
"217263_x_at"	861
"209360_s_at"	100506403
"209359_x_at"	100506403
"211181_x_at"	100506403
"210805_x_at"	100506403
"211180_x_at"	100506403
"208129_x_at"	100506403
"211620_x_at"	100506403
"211182_x_at"	100506403
"210365_at"	100506403
"217263_x_at"	100506403
"220277_at"	80319
"220910_at"	80144
"206286_s_at"	6998
"211630_s_at"	2937
"201415_at"	2937
"207353_s_at"	3166
"220431_at"	28983
"222351_at"	5519
"202886_s_at"	5519
"202883_s_at"	5519
"202884_s_at"	5519
"202885_s_at"	5519
"215960_at"	6527
"213801_x_at"	NA
"217317_s_at"	NA
"218801_at"	55757
"220272_at"	54796
"207936_x_at"	10738
"203043_at"	NA
"207186_s_at"	2186
"217038_at"	NA
"214408_s_at"	NA
"214409_at"	NA
"208309_s_at"	10892
"210018_x_at"	10892
"210017_at"	10892
"217332_at"	647288
"211065_x_at"	5211
"201102_s_at"	5211
"214309_s_at"	5211
"206826_at"	5375
"204616_at"	NA
"207765_s_at"	80256
"211433_x_at"	80256
"203980_at"	2167
"215795_at"	57644
"213900_at"	9413
"209210_s_at"	10979
"209209_s_at"	10979
"214212_x_at"	10979
"206567_s_at"	51230
"209423_s_at"	51230
"209422_at"	51230
"200042_at"	51493
"202087_s_at"	1514
"219349_s_at"	55770
"206679_at"	320
"202941_at"	NA
"221066_at"	51289
"213941_x_at"	NA
"220793_at"	55511
"203669_s_at"	8694
"203011_at"	3612
"208529_at"	NA
"219560_at"	79680
"212569_at"	23347
"212577_at"	23347
"212579_at"	23347
"213562_s_at"	6713
"209218_at"	6713
"213577_at"	6713
"202327_s_at"	5310
"216949_s_at"	5310
"202328_s_at"	5310
"214682_at"	5310
"202327_s_at"	101060429
"216949_s_at"	101060429
"202328_s_at"	101060429
"214682_at"	101060429
"200886_s_at"	441531
"214668_at"	57213
"204153_s_at"	4242
"204152_s_at"	4242
"220245_at"	51151
"221644_s_at"	51151
"211374_x_at"	NA
"219599_at"	NA
"211937_at"	NA
"218295_s_at"	NA
"208386_x_at"	11144
"208382_s_at"	11144
"36994_at"	NA
"218241_at"	9950
"220705_s_at"	NA
"36994_at"	527
"218479_s_at"	64328
"220301_at"	79839
"213737_x_at"	NA
"212992_at"	113146
"217356_s_at"	5230
"200737_at"	5230
"200738_s_at"	5230
"220095_at"	54875
"207245_at"	7367
"200019_s_at"	NA
"221402_at"	4992
"207199_at"	7015
"213161_at"	158427
"211177_s_at"	10587
"210803_at"	10587
"201563_at"	NA
"201562_s_at"	NA
"216562_at"	NA
"210216_x_at"	5810
"204461_x_at"	5810
"204460_s_at"	5810
"205706_s_at"	22852
"205705_at"	22852
"212059_s_at"	26133
"219535_at"	30811
"209789_at"	10391
"217392_at"	NA
"203776_at"	27238
"214706_at"	7752
"207338_s_at"	7752
"220651_s_at"	55388
"218666_s_at"	55014
"213386_at"	84302
"203214_x_at"	983
"210559_s_at"	983
"203213_at"	983
"204576_s_at"	23059
"204577_s_at"	23059
"213733_at"	4542
"205612_at"	22915
"204307_at"	NA
"202541_at"	9255
"202542_s_at"	9255
"200012_x_at"	NA
"205061_s_at"	5393
"212529_at"	NA
"203450_at"	25776
"222149_x_at"	390535
"222149_x_at"	100132979
"203659_s_at"	10206
"207392_x_at"	7366
"222196_at"	NA
"59433_at"	NA
"207965_at"	50674
"222196_at"	100506453
"59433_at"	100506453
"208037_s_at"	8174
"218206_x_at"	51282
"203854_at"	3426
"217454_at"	NA
"201043_s_at"	8125
"201051_at"	8125
"201038_s_at"	8125
"205957_at"	26576
"206216_at"	26576
"218561_s_at"	57128
"215981_at"	100505534
"210025_s_at"	29775
"210026_s_at"	29775
"210074_at"	1515
"203592_s_at"	10272
"207890_s_at"	64386
"207289_at"	64386
"217290_at"	NA
"205677_s_at"	NA
"200640_at"	7534
"200639_s_at"	7534
"200641_s_at"	7534
"214848_at"	7534
"200638_s_at"	7534
"208627_s_at"	NA
"208628_s_at"	NA
"218540_at"	79178
"205582_s_at"	2687
"220617_s_at"	55205
"200606_at"	1832
"201887_at"	3597
"201888_s_at"	3597
"211612_s_at"	3597
"210904_s_at"	3597
"209425_at"	23600
"209426_s_at"	23600
"209424_s_at"	23600
"217111_at"	23600
"219763_at"	57706
"219193_at"	55100
"202800_at"	6507
"214140_at"	8034
"217960_s_at"	56993
"207016_s_at"	8854
"207015_s_at"	8854
"216542_x_at"	NA
"219482_at"	54093
"213989_x_at"	54093
"221324_at"	50834
"216557_x_at"	NA
"218746_at"	55080
"218747_s_at"	55080
"215886_x_at"	NA
"207820_at"	124
"37079_at"	NA
"215920_s_at"	NA
"211650_x_at"	NA
"217818_s_at"	10093
"211672_s_at"	10093
"217817_at"	10093
"200063_s_at"	NA
"216315_x_at"	NA
"221166_at"	8074
"219065_s_at"	NA
"219965_s_at"	79917
"205751_at"	6456
"203814_s_at"	4835
"212901_s_at"	23283
"212905_at"	23283
"212453_at"	26128
"217077_s_at"	9568
"211679_x_at"	9568
"209991_x_at"	9568
"209990_s_at"	9568
"214914_at"	220965
"204602_at"	22943
"201133_s_at"	9867
"207315_at"	10666
"203909_at"	10479
"215949_x_at"	NA
"201985_at"	9897
"215325_x_at"	255057
"218002_s_at"	9547
"204745_x_at"	4495
"218282_at"	55741
"77508_r_at"	79874
"219057_at"	79874
"74694_s_at"	79874
"218969_at"	100529144
"209008_x_at"	3856
"211991_s_at"	3113
"211990_at"	3113
"213537_at"	3113
"212273_x_at"	2778
"217057_s_at"	2778
"200981_x_at"	2778
"200780_x_at"	2778
"214548_x_at"	2778
"211858_x_at"	2778
"214157_at"	2778
"219591_at"	51286
"216820_at"	NA
"213512_at"	122616
"209083_at"	11151
"212336_at"	2036
"212339_at"	2036
"208588_at"	NA
"213651_at"	27124
"220498_at"	10880
"211852_s_at"	8455
"212517_at"	8455
"215841_at"	2979
"209079_x_at"	56111
"211876_x_at"	56111
"215836_s_at"	56111
"205717_x_at"	56111
"211066_x_at"	56111
"216352_x_at"	56111
"36994_at"	51005
"219082_at"	51005
"36994_at"	752014
"219082_at"	752014
"219991_at"	56606
"209079_x_at"	56103
"211876_x_at"	56103
"215836_s_at"	56103
"205717_x_at"	56103
"211066_x_at"	56103
"216352_x_at"	56103
"219177_at"	55299
"219916_s_at"	80352
"217977_at"	51734
"220081_x_at"	158160
"205089_at"	7553
"34260_at"	9894
"209528_s_at"	9894
"201178_at"	25793
"218102_at"	51071
"213550_s_at"	55374
"221096_s_at"	55374
"206201_s_at"	4223
"205105_at"	4124
"219692_at"	79412
"219948_x_at"	79799
"206029_at"	27063
"209079_x_at"	56110
"211876_x_at"	56110
"215836_s_at"	56110
"205717_x_at"	56110
"211066_x_at"	56110
"216352_x_at"	56110
"208826_x_at"	3094
"207721_x_at"	3094
"200093_s_at"	3094
"218919_at"	79752
"220080_at"	3299
"210977_s_at"	3299
"217930_s_at"	54472
"220302_at"	4117
"209079_x_at"	56102
"211876_x_at"	56102
"215836_s_at"	56102
"205717_x_at"	56102
"211066_x_at"	56102
"216352_x_at"	56102
"203995_at"	755
"203994_s_at"	755
"203996_s_at"	755
"213943_at"	7291
"212835_at"	23172
"212837_at"	23172
"218115_at"	55723
"209079_x_at"	56109
"211876_x_at"	56109
"215836_s_at"	56109
"205717_x_at"	56109
"211066_x_at"	56109
"216352_x_at"	56109
"212540_at"	997
"204697_s_at"	1113
"204693_at"	11135
"221805_at"	NA
"221801_x_at"	NA
"221916_at"	NA
"221850_x_at"	642517
"221971_x_at"	642517
"201751_at"	9929
"206461_x_at"	4496
"217140_s_at"	NA
"217139_at"	NA
"202375_at"	9871
"215209_at"	9871
"215641_at"	9871
"214621_at"	2998
"211787_s_at"	NA
"201530_x_at"	NA
"207256_at"	4153
"221980_at"	84034
"210554_s_at"	NA
"222277_at"	NA
"209507_at"	6119
"212866_at"	203069
"35156_at"	203069
"209850_s_at"	10435
"214014_at"	10435
"211639_x_at"	NA
"222190_s_at"	64755
"217891_at"	64755
"204988_at"	2244
"216238_s_at"	2244
"201990_s_at"	1389
"201989_s_at"	1389
"201988_s_at"	1389
"222229_x_at"	NA
"217451_at"	NA
"209079_x_at"	56108
"211876_x_at"	56108
"215836_s_at"	56108
"205717_x_at"	56108
"211066_x_at"	56108
"216352_x_at"	56108
"218106_s_at"	55173
"208450_at"	3957
"219690_at"	NA
"211921_x_at"	NA
"200773_x_at"	NA
"200772_x_at"	NA
"208486_at"	1816
"202893_at"	10497
"219908_at"	27123
"212601_at"	23140
"207189_s_at"	23140
"207190_at"	23140
"206941_x_at"	9723
"204343_at"	21
"208818_s_at"	1312
"213981_at"	1312
"208817_at"	1312
"217381_s_at"	NA
"216298_at"	NA
"203498_at"	10231
"216822_x_at"	NA
"222150_s_at"	54103
"213142_x_at"	54103
"202116_at"	5977
"211518_s_at"	652
"44111_at"	26276
"218415_at"	26276
"205276_s_at"	9567
"219357_at"	9567
"207183_at"	2842
"203640_at"	10150
"205017_s_at"	10150
"205018_s_at"	10150
"209079_x_at"	8641
"211876_x_at"	8641
"215836_s_at"	8641
"205717_x_at"	8641
"211066_x_at"	8641
"216352_x_at"	8641
"209079_x_at"	56101
"211876_x_at"	56101
"215836_s_at"	56101
"205717_x_at"	56101
"211066_x_at"	56101
"216352_x_at"	56101
"221301_at"	80737
"206796_at"	8840
"219110_at"	54433
"220741_s_at"	27068
"214271_x_at"	26783
"205567_at"	8534
"211809_x_at"	1305
"211343_s_at"	1305
"201871_s_at"	51035
"210623_at"	51035
"219632_s_at"	7442
"219712_s_at"	7442
"219632_s_at"	23729
"219712_s_at"	23729
"220815_at"	29119
"209612_s_at"	125
"209614_at"	125
"209613_s_at"	125
"217046_s_at"	177
"210081_at"	177
"221524_s_at"	58528
"221523_s_at"	58528
"214908_s_at"	8295
"202642_s_at"	8295
"209079_x_at"	5098
"211876_x_at"	5098
"215836_s_at"	5098
"205717_x_at"	5098
"211066_x_at"	5098
"216352_x_at"	5098
"209079_x_at"	9708
"211876_x_at"	9708
"215836_s_at"	9708
"205717_x_at"	9708
"211066_x_at"	9708
"216352_x_at"	9708
"219056_at"	79621
"220184_at"	79923
"220432_s_at"	51302
"213564_x_at"	3945
"201030_x_at"	3945
"203216_s_at"	4646
"210480_s_at"	4646
"203215_s_at"	4646
"221258_s_at"	81930
"207009_at"	8929
"214033_at"	730013
"208389_s_at"	6506
"218553_s_at"	79047
"219503_s_at"	55287
"212680_x_at"	26472
"210324_at"	733
"221798_x_at"	574042
"203107_x_at"	574042
"202587_s_at"	NA
"218114_at"	26088
"50277_at"	26088
"45572_s_at"	26088
"217560_at"	26088
"208958_at"	23071
"208959_s_at"	23071
"208957_at"	23071
"218599_at"	9985
"217902_s_at"	8924
"217902_s_at"	100653292
"210740_s_at"	3705
"210197_at"	3705
"217710_x_at"	3705
"200611_s_at"	9948
"200609_s_at"	9948
"210935_s_at"	9948
"202459_s_at"	9663
"202460_s_at"	9663
"211709_s_at"	6320
"205131_x_at"	6320
"210783_x_at"	6320
"221152_at"	1295
"214587_at"	1295
"217082_at"	NA
"213892_s_at"	353
"203219_s_at"	353
