Negative
ENSG00000175899	A2M	CPAMD5,FWP007,S863-7	alpha-2-macroglobulin
ENSG00000114771	AADAC	CES5A1,DAC	arylacetamide deacetylase (esterase)
ENSG00000103222	ABCC1	GS-X,MRP,MRP1	ATP-binding cassette, sub-family C (CFTR/MRP), member 1
ENSG00000100439	ABHD4	FLJ12816	abhydrolase domain containing 4
ENSG00000097007	ABL1	ABL,c-ABL,JTK7,p150	c-abl oncogene 1, non-receptor tyrosine kinase
ENSG00000115361	ACADL	ACAD4,LCAD	acyl-CoA dehydrogenase, long chain
ENSG00000117054	ACADM	ACAD1,MCAD,MCADH	acyl-CoA dehydrogenase, C-4 to C-12 straight chain
ENSG00000122971	ACADS	ACAD3,SCAD	acyl-CoA dehydrogenase, C-2 to C-3 short chain
ENSG00000130234	ACE2		angiotensin I converting enzyme (peptidyl-dipeptidase A) 2
ENSG00000176715	ACSF3		acyl-CoA synthetase family member 3
ENSG00000143632	ACTA1	ACTA	actin, alpha 1, skeletal muscle
ENSG00000184009	ACTG1	ACTG,DFNA20,DFNA26	actin, gamma 1
ENSG00000163017	ACTG2	ACTA3,ACTL3,ACTSG	actin, gamma 2, smooth muscle, enteric
ENSG00000123165	ACTRT1	AIP1,ARIP1,Arp-T1,KIAA0705	actin-related protein T1
ENSG00000081051	AFP	FETA,HPAFP	alpha-fetoprotein
ENSG00000135744	AGT	SERPINA8	angiotensinogen (serpin peptidase inhibitor, clade A, member 8)
ENSG00000168710	AHCYL1	IRBIT,XPVKONA	adenosylhomocysteinase-like 1
ENSG00000145192	AHSG	A2HS,FETUA,HSGA	alpha-2-HS-glycoprotein
ENSG00000183773	AIFM3	AIFL,FLJ30473	apoptosis-inducing factor, mitochondrion-associated, 3
ENSG00000117448	AKR1A1	ALR,DD3	aldo-keto reductase family 1, member A1 (aldehyde reductase)
ENSG00000186831	AL353997.5		Uncharacterized protein
ENSG00000183748	AL928580.1		Macrophage mannose receptor 1
ENSG00000163631	ALB		albumin
ENSG00000165092	ALDH1A1	ALDH1,PUMB1,RALDH1	aldehyde dehydrogenase 1 family, member A1
ENSG00000136010	ALDH1L2	FLJ38508,mtFDH	aldehyde dehydrogenase 1 family, member L2
ENSG00000109107	ALDOC		aldolase C, fructose-bisphosphate
ENSG00000166199	ALKBH3	DEPC-1	alkB, alkylation repair homolog 3 (E. coli)
ENSG00000179477	ALOX12B	12R-LOX	arachidonate 12-lipoxygenase, 12R type
ENSG00000161905	ALOX15	15-LOX-1	arachidonate 15-lipoxygenase
ENSG00000242110	AMACR	RACE	alpha-methylacyl-CoA racemase
ENSG00000013523	ANGEL1	KIAA0759	angel homolog 1 (Drosophila)
ENSG00000132703	APCS	MGC88159,PTX2,SAP	amyloid P component, serum
ENSG00000118137	APOA1		apolipoprotein A-I
ENSG00000130203	APOE	AD2	apolipoprotein E
ENSG00000091583	APOH	B2G1,BG	apolipoprotein H (beta-2-glycoprotein I)
ENSG00000240583	AQP1	CHIP28,CO	aquaporin 1 (Colton blood group)
ENSG00000169083	AR	AIS,DHTR,HUMARA,NR3C4,SBMA,SMAX1	androgen receptor
ENSG00000118520	ARG1		arginase, liver
ENSG00000081181	ARG2		arginase, type II
ENSG00000159314	ARHGAP27	CAMGAP1,FLJ43547,SH3D20,SH3P20	Rho GTPase activating protein 27
ENSG00000089820	ARHGAP4	C1,KIAA0131,p115,RhoGAP4,SrGAP4	Rho GTPase activating protein 4
ENSG00000102401	ARMCX3	ALEX3	armadillo repeat containing, X-linked 3
ENSG00000100299	ARSA		arylsulfatase A
ENSG00000115239	ASB3	ASB-3	ankyrin repeat and SOCS box containing 3
ENSG00000177981	ASB8	FLJ21255,MGC5540	ankyrin repeat and SOCS box containing 8
ENSG00000102048	ASB9	DKFZP564L0862,FLJ20636,MGC4954	ankyrin repeat and SOCS box containing 9
ENSG00000129691	ASH2L	ASH2,ASH2L1,ASH2L2,Bre2	ash2 (absent, small, or homeotic)-like (Drosophila)
ENSG00000126522	ASL		argininosuccinate lyase
ENSG00000085978	ATG16L1	APG16L,ATG16A,ATG16L,FLJ10035,WDR30	ATG16 autophagy related 16-like 1 (S. cerevisiae)
ENSG00000088812	ATRN	DPPT-L,MGCA	attractin
ENSG00000135454	B4GALNT1	beta1-4GalNAc-T,GALGT	beta-1,4-N-acetyl-galactosaminyl transferase 1
ENSG00000139044	B4GALNT3	B4GalNac-T3,FLJ16224,FLJ40362	beta-1,4-N-acetyl-galactosaminyl transferase 3
ENSG00000125124	BBS2	BBS	Bardet-Biedl syndrome 2
ENSG00000050820	BCAR1	CAS,CASS1,Crkas,P130Cas	breast cancer anti-estrogen resistance 1
ENSG00000113916	BCL6	BCL5,BCL6A,LAZ3,ZBTB27,ZNF51	B-cell CLL/lymphoma 6
ENSG00000182492	BGN	DSPG1,SLRR1A	biglycan
ENSG00000141867	BRD4	CAP,HUNK1,HUNKI,MCAP	bromodomain containing 4
ENSG00000010671	BTK	AGMX1,ATK,IMD1,PSCTK1,XLA	Bruton agammaglobulinemia tyrosine kinase
ENSG00000136261	BZW2	HSPC028,MST017,MSTP017	basic leucine zipper and W2 domains 2
ENSG00000179933	C14orf119	FLJ20671	chromosome 14 open reading frame 119
ENSG00000075399	C16orf7	ATP-BL	chromosome 16 open reading frame 7
ENSG00000178852	C17orf57	FLJ40342	chromosome 17 open reading frame 57
ENSG00000183019	C19orf59	MCEMP1,MGC132456	chromosome 19 open reading frame 59
ENSG00000173372	C1QA		complement component 1, q subcomponent, A chain
ENSG00000133466	C1QTNF6	CTRP6,ZACRP6	C1q and tumor necrosis factor related protein 6
ENSG00000182326	C1S		complement component 1, s subcomponent
ENSG00000125730	C3	CPAMD1	complement component 3
ENSG00000123838	C4BPA	C4BP	complement component 4 binding protein, alpha
ENSG00000134986	C5orf13	D4S114,P311,PRO1873,PTZ17	chromosome 5 open reading frame 13
ENSG00000135185	C7orf23	MGC4175	chromosome 7 open reading frame 23
ENSG00000120160	C9orf11	Afaf	chromosome 9 open reading frame 11
ENSG00000133742	CA1	Car1	carbonic anhydrase I
ENSG00000104267	CA2	CA-II,CAII,Car2	carbonic anhydrase II
ENSG00000164879	CA3	CAIII,Car3	carbonic anhydrase III, muscle specific
ENSG00000178538	CA8	CALS,CARP	carbonic anhydrase VIII
ENSG00000145309	CABS1	C4orf35,CLPH,FLJ32897,NYD-SP26	calcium-binding protein, spermatid-specific 1
ENSG00000162706	CADM3	BIgR,FLJ10698,IGSF4B,Necl-1,NECL1,SynCAM3,TSLL1	cell adhesion molecule 3
ENSG00000104327	CALB1	CALB	calbindin 1, 28kDa
ENSG00000172137	CALB2	CAL2	calbindin 2
ENSG00000130559	CAMSAP1	DKFZp434F195,FLJ31228	calmodulin regulated spectrin-associated protein 1
ENSG00000105519	CAPS	CAPS1,MGC126562	calcyphosine
ENSG00000064012	CASP8	Casp-8,FLICE,MACH,MCH5	caspase 8, apoptosis-related cysteine peptidase
ENSG00000121691	CAT		catalase
ENSG00000101997	CCDC22	CXorf37,JM1	coiled-coil domain containing 22
ENSG00000175305	CCNE2	CYCE2	cyclin E2
ENSG00000170458	CD14		CD14 molecule
ENSG00000177575	CD163	M130,MM130	CD163 molecule
ENSG00000134061	CD180	LY64,Ly78,RP105	CD180 molecule
ENSG00000116824	CD2	SRBC	CD2 molecule
ENSG00000012124	CD22	SIGLEC-2,SIGLEC2	CD22 molecule
ENSG00000198821	CD247	CD3H,CD3Q,CD3Z	CD247 molecule
ENSG00000198087	CD2AP	CMS	CD2-associated protein
ENSG00000167850	CD300C	CMRF-35A,CMRF35,CMRF35A,IGSF16,LIR	CD300c molecule
ENSG00000135218	CD36	FAT,GP3B,GP4,GPIV,SCARB3	CD36 molecule (thrombospondin receptor)
ENSG00000004468	CD38		CD38 molecule
ENSG00000167286	CD3D	T3D	CD3d molecule, delta (CD3-TCR complex)
ENSG00000026508	CD44	CD44R,CSPG8,HCELL,IN,MC56,MDU2,MDU3,MIC4,Pgp1	CD44 molecule (Indian blood group)
ENSG00000110448	CD5	LEU1,T1	CD5 molecule
ENSG00000039068	CDH1	CD324,UVO,uvomorulin	cadherin 1, type 1, E-cadherin (epithelial)
ENSG00000140945	CDH13	CDHH	cadherin 13, H-cadherin (heart)
ENSG00000129910	CDH15	CDH14,CDH3	cadherin 15, type 1, M-cadherin (myotubule)
ENSG00000062038	CDH3	CDHP,PCAD	cadherin 3, type 1, P-cadherin (placental)
ENSG00000074276	CDHR2	FLJ20124,FLJ20383,PC-LKC,PCDH24,PCLKC	cadherin-related family member 2
ENSG00000099834	CDHR5	FLJ20219,MU-PCDH,MUCDHL,MUPCDH	cadherin-related family member 5
ENSG00000204539	CDSN	D6S586E	corneodesmosin
ENSG00000079385	CEACAM1	BGP,BGP1,CD66a	carcinoembryonic antigen-related cell adhesion molecule 1 (biliary glycoprotein)
ENSG00000170956	CEACAM3	CD66d,CGM1	carcinoembryonic antigen-related cell adhesion molecule 3
ENSG00000105388	CEACAM5	CD66e,CEA	carcinoembryonic antigen-related cell adhesion molecule 5
ENSG00000086548	CEACAM6	CD66c,NCA	carcinoembryonic antigen-related cell adhesion molecule 6 (non-specific cross reacting antigen)
ENSG00000170835	CEL	BSSL,MODY8	carboxyl ester lipase (bile salt-stimulated lipase)
ENSG00000166582	CENPV	CENP-V,p30,PRR6	centromere protein V
ENSG00000147869	CER1	DAND4	cerberus 1, cysteine knot superfamily, homolog (Xenopus laevis)
ENSG00000100422	CERK	dA59H18.2,dA59H18.3,DKFZp434E0211,FLJ21430,FLJ23239,hCERK,KIAA1646,LK4	ceramide kinase
ENSG00000243649	CFB	BF,BFD,H2-Bf	complement factor B
ENSG00000197766	CFD	ADN,DF,PFD	complement factor D (adipsin)
ENSG00000000971	CFH	ARMS1,FHL1,HF,HF1,HF2,HUS	complement factor H
ENSG00000205403	CFI	C3b-INA,FI,IF,KAF	complement factor I
ENSG00000100604	CHGA		chromogranin A (parathyroid secretory protein 1)
ENSG00000166165	CKB	CKBB	creatine kinase, brain
ENSG00000189143	CLDN4	CPE-R,CPETR,CPETR1,hCPE-R,WBSCR8	claudin 4
ENSG00000111729	CLEC4A	CLECSF6,DCIR,DDB27	C-type lectin domain family 4, member A
ENSG00000182566	CLEC4G	LSECtin,UNQ431	C-type lectin domain family 4, member G
ENSG00000120885	CLU	APOJ,CLI,KUB1,SGP-2,SP-40,TRPM-2	clusterin
ENSG00000130176	CNN1	Sm-Calp,SMCC	calponin 1, basic, smooth muscle
ENSG00000173786	CNP		2',3'-cyclic nucleotide 3' phosphodiesterase
ENSG00000163751	CPA3		carboxypeptidase A3 (mast cell)
ENSG00000109472	CPE		carboxypeptidase E
ENSG00000021826	CPS1		carbamoyl-phosphate synthase 1, mitochondrial
ENSG00000130545	CRB3	MGC17303	crumbs homolog 3 (Drosophila)
ENSG00000167193	CRK		v-crk sarcoma virus CT10 oncogene homolog (avian)
ENSG00000109846	CRYAB	CRYA2,HSPB5	crystallin, alpha B
ENSG00000121552	CSTA	STF1,STFA	cystatin A (stefin A)
ENSG00000212710	CTAGE1	CT21.1,CT21.2,CTAGE,cTAGE-1,cTAGE-2	cutaneous T-cell lymphoma-associated antigen 1
ENSG00000103811	CTSH	ACC-4,ACC-5,CPSB	cathepsin H
ENSG00000166347	CYB5A	CYB5	cytochrome b5 type A (microsomal)
ENSG00000138109	CYP2C9	CYP2C10,P450IIC9	cytochrome P450, family 2, subfamily C, polypeptide 9
ENSG00000142973	CYP4B1		cytochrome P450, family 4, subfamily B, polypeptide 1
ENSG00000167910	CYP7A1	CYP7	cytochrome P450, family 7, subfamily A, polypeptide 1
ENSG00000165659	DACH1	DACH	dachshund homolog 1 (Drosophila)
