Strong
ENSG00000128274	A4GALT	A14GALT,Gb3S,P(k)	alpha 1,4-galactosyltransferase
ENSG00000115977	AAK1	DKFZp686K16132,KIAA1048	AP2 associated kinase 1
ENSG00000127837	AAMP		angio-associated, migratory cell protein
ENSG00000008311	AASS	LKRSDH,LORSDH	aminoadipate-semialdehyde synthase
ENSG00000108270	AATF	CHE-1,CHE1,DED	apoptosis antagonizing transcription factor
ENSG00000103222	ABCC1	GS-X,MRP,MRP1	ATP-binding cassette, sub-family C (CFTR/MRP), member 1
ENSG00000164163	ABCE1	OABP,RLI,RNASEL1,RNASELI,RNS4I	ATP-binding cassette, sub-family E (OABP), member 1
ENSG00000204574	ABCF1	ABC50,EST123147	ATP-binding cassette sub-family F member 1 (ATP-binding cassette 50)(TNF-alpha-stimulated ABC protein)
ENSG00000033050	ABCF2	ABC28,EST133090,HUSSY-18,M-ABC1	ATP-binding cassette, sub-family F (GCN20), member 2
ENSG00000097007	ABL1	ABL,c-ABL,JTK7,p150	c-abl oncogene 1, receptor tyrosine kinase
ENSG00000172421	AC008026.3		EF-hand calcium-binding domain-containing protein 3 
ENSG00000233913	AC008590.1		
ENSG00000167642	AC011479.3		Kunitz-type protease inhibitor 2 Precursor (Hepatocyte growth factor activator inhibitor type 2)(HAI-2)(Placental bikunin)
ENSG00000215492	AC021224.2		Putative uncharacterized protein ENSP00000383298 
ENSG00000197065	AC023632.1		Fibrinogen silencer-binding protein 
ENSG00000228782	AC040934.1		Putative uncharacterized protein ENSP00000411291 
ENSG00000250907	AC073342.3		glutathione S-transferase kappa 1 isoform b 
ENSG00000206100	AC090691.3		cDNA FLJ46459 fis, clone THYMU3020970 
ENSG00000227202	AC092718.3		PKD1L2 protein Fragment 
ENSG00000178404	AC100788.1		cDNA FLJ32655 fis, clone TESTI1000025, weakly similar to M.musculus testis-specific protein, DDC8 
ENSG00000249714	AC116158.1		Protein FAM98B 
ENSG00000123384	AC137834.2		Prolow-density lipoprotein receptor-related protein 1 Precursor (LRP-1)(Alpha-2-macroglobulin receptor)(A2MR)(Apolipoprotein E receptor)(APOER)(CD91 antigen) [Contains Low-density lipoprotein receptor-related protein 1 85 kDa subunit(LRP-85);Low-den /.../ipoprotein receptor-related protein 1 515 kDa subunit(LRP-515);Low-density lipoprotein receptor-related protein 1 intracellular domain(LRPICD)]
ENSG00000117054	ACADM	ACAD1,MCAD,MCADH	acyl-CoA dehydrogenase, C-4 to C-12 straight chain
ENSG00000122971	ACADS	ACAD3,SCAD	acyl-CoA dehydrogenase, C-2 to C-3 short chain
ENSG00000075239	ACAT1	ACAT,THIL	acetyl-CoA acetyltransferase 1
ENSG00000107897	ACBD5	DKFZp434A2417,KIAA1996	acyl-CoA binding domain containing 5
ENSG00000135847	ACBD6	MGC2404	acyl-CoA binding domain containing 6
ENSG00000110455	ACCS	ACS,PHACS	1-aminocyclopropane-1-carboxylate synthase homolog (Arabidopsis)(non-functional)
ENSG00000087085	ACHE	YT	acetylcholinesterase (Yt blood group)
ENSG00000100813	ACIN1	ACINUS,fSAP152,KIAA0670	apoptotic chromatin condensation inducer 1
ENSG00000122729	ACO1	IREB1,IREBP,IRP1	aconitase 1, soluble
ENSG00000100412	ACO2	ACONM	aconitase 2, mitochondrial
ENSG00000123130	ACOT9	ACATE2,CGI-16,MT-ACT48	acyl-CoA thioesterase 9
ENSG00000161533	ACOX1	PALMCOX	acyl-CoA oxidase 1, palmitoyl
ENSG00000143727	ACP1		acid phosphatase 1, soluble
ENSG00000147174	ACRC		acidic repeat containing
ENSG00000075624	ACTB		actin, beta
ENSG00000136518	ACTL6A	Actl6,Arp4,BAF53A,INO80K	actin-like 6A
ENSG00000072110	ACTN1		actinin, alpha 1
ENSG00000077522	ACTN2		actinin, alpha 2
ENSG00000130402	ACTN4		actinin, alpha 4
ENSG00000196839	ADA	LRG_16	adenosine deaminase
ENSG00000151694	ADAM17	CD156B,cSVP,TACE	ADAM metallopeptidase domain 17
ENSG00000168594	ADAM29	CT73,svph1	ADAM metallopeptidase domain 29
ENSG00000142920	ADC	KIAA1945,ODC-p,ODC1L	arginine decarboxylase
ENSG00000239900	ADSL		adenylosuccinate lyase
ENSG00000035687	ADSS		adenylosuccinate synthase
ENSG00000157510	AFAP1L1	FLJ36748	actin filament associated protein 1-like 1
ENSG00000072364	AFF4	AF5Q31,MCEF	AF4/FMR2 family, member 4
ENSG00000141385	AFG3L2	SCA28	AFG3 ATPase family gene 3-like 2 (yeast)
ENSG00000081051	AFP	FETA,HPAFP	alpha-fetoprotein
ENSG00000135439	AGAP2	CENTG1	ArfGAP with GTPase domain, ankyrin repeat and PH domain 2
ENSG00000106351	AGFG2	HRBL,RABR	ArfGAP with FG repeats 2
ENSG00000106546	AHR	bHLHe76	aryl hydrocarbon receptor
ENSG00000063438	AHRR	AHH,AHHR,bHLHe77,KIAA1234	aryl-hydrocarbon receptor repressor
ENSG00000100591	AHSA1	C14orf3,p38	AHA1, activator of heat shock 90kDa protein ATPase homolog 1 (yeast)
ENSG00000106305	AIMP2	JTV-1,JTV1,p38,PRO0992	aminoacyl tRNA synthetase complex-interacting multifunctional protein 2
ENSG00000154027	AK5		adenylate kinase 5
ENSG00000121057	AKAP1	AKAP121,AKAP149,AKAP84,PRKA1,S-AKAP84,SAKAP84	A kinase (PRKA) anchor protein 1
ENSG00000170776	AKAP13	AKAP-Lbc,ARHGEF13,BRX,c-lbc,HA-3,Ht31,LBC,PROTO-LB	A kinase (PRKA) anchor protein 13
ENSG00000105127	AKAP8	AKAP95,DKFZp586B1222	A kinase (PRKA) anchor protein 8
ENSG00000117448	AKR1A1	ALR,DD3	aldo-keto reductase family 1, member A1 (aldehyde reductase)
ENSG00000085662	AKR1B1	ALDR1,AR	aldo-keto reductase family 1, member B1 (aldose reductase)
ENSG00000142208	AKT1	AKT,PKB,PRKBA,RAC	v-akt murine thymoma viral oncogene homolog 1
ENSG00000250096	AL161907.1		runt-related transcription factor 2 isoform c 
ENSG00000250083	AL512637.1		zinc finger protein 695 
ENSG00000236575	AL603926.6		Zinc finger protein 26 (Zinc finger protein KOX20)
ENSG00000170017	ALCAM	CD166,MEMD	activated leukocyte cell adhesion molecule
ENSG00000137124	ALDH1B1	ALDH5,ALDHX	aldehyde dehydrogenase 1 family, member B1
ENSG00000072210	ALDH3A2	ALDH10,ALDH3A2,FALDH ,SLS	aldehyde dehydrogenase 3 family, member A2
ENSG00000108839	ALOX12	12S-LOX	arachidonate 12-lipoxygenase
ENSG00000162551	ALPL	HOPS,TNSALP	alkaline phosphatase, liver/bone/kidney
ENSG00000078053	AMPH		amphiphysin
ENSG00000141552	ANAPC11	APC11,Apc11p,HSPC214,MGC882	anaphase promoting complex subunit 11
ENSG00000154188	ANGPT1	Ang1,KIAA0003	angiopoietin 1
ENSG00000091879	ANGPT2	Ang2	angiopoietin 2
ENSG00000101280	ANGPT4		angiopoietin 4
ENSG00000001629	ANKIB1	DKFZP434A0225,KIAA1386	ankyrin repeat and IBR domain containing 1
ENSG00000167522	ANKRD11	LZ16,T13	ankyrin repeat domain 11
ENSG00000148513	ANKRD30A	NY-BR-1	ankyrin repeat domain 30A
ENSG00000140350	ANP32A	C15orf1,I1PP2A,LANP,MAPM,mapmodulin,PHAPI,PP32	acidic (leucine-rich) nuclear phosphoprotein 32 family, member A
ENSG00000135046	ANXA1	ANX1,LPC1	annexin A1
ENSG00000182718	ANXA2	ANX2,ANX2L4,CAL1H,LIP2,LPC2D	annexin A2
ENSG00000196975	ANXA4	ANX4	annexin A4
ENSG00000215575	AP000547.2		Putative calcium-activated potassium channel subunit beta-3-like protein 
ENSG00000166250	AP000926.1		Adipocyte adhesion molecule Precursor (Coxsackie- and adenovirus receptor-like membrane protein)(CAR-like membrane protein)
ENSG00000174684	AP001107.2		N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase (EC 2.4.1.149)(Poly-N-acetyllactosamine extension enzyme)(I-beta-1,3-N-acetylglucosaminyltransferase)(iGnT)(UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 1)
ENSG00000100823	APEX1	APE,APE-1,APEN,APEX,APX,HAP1,REF-1,REF1	APEX nuclease (multifunctional DNA repair enzyme) 1
ENSG00000184831	APOO	FAM121B,MGC4825,My025	apolipoprotein O
ENSG00000109321	AREG	SDGF	amphiregulin
ENSG00000205595	AREGB		amphiregulin B
ENSG00000149182	ARFGAP2	FLJ14576,IRZ,Zfp289,ZNF289	ADP-ribosylation factor GTPase activating protein 2
ENSG00000128805	ARHGAP22	RhoGAP2	Rho GTPase activating protein 22
ENSG00000225485	ARHGAP23	KIAA1501	Rho GTPase activating protein 23
ENSG00000138639	ARHGAP24	DKFZP564B1162,FLJ33877	Rho GTPase activating protein 24
